id,x,y,disease,severity,temperature,humidity,moisture,ph,priority_score
plant-0,48,10,healthy,0.0,22.98,55.38,52.02,7.79,0.0
plant-1,39,19,healthy,0.0,22.0,68.24,8.01,5.57,0.0
plant-2,49,34,late_blight,0.753,24.84,33.49,8.68,6.56,1.0
plant-3,45,22,late_blight,0.773,34.49,38.45,61.48,7.66,0.928
plant-4,44,49,healthy,0.0,20.23,44.06,27.2,8.0,0.0
plant-5,9,21,healthy,0.0,20.05,81.88,27.51,7.04,0.0
plant-6,46,34,healthy,0.0,32.98,56.11,25.4,7.46,0.0
plant-7,48,14,healthy,0.0,28.64,74.81,41.13,7.25,0.0
plant-8,25,47,healthy,0.0,36.83,42.09,46.14,5.95,0.0
plant-9,4,4,healthy,0.0,16.32,57.88,30.17,7.2,0.0
plant-10,43,23,healthy,0.0,19.17,75.5,41.33,6.59,0.0
plant-11,15,8,healthy,0.0,31.31,85.64,8.1,6.83,0.0
plant-12,14,37,healthy,0.0,31.24,82.82,42.08,6.75,0.0
plant-13,19,33,healthy,0.0,26.58,38.41,9.13,7.08,0.0
plant-14,13,37,healthy,0.0,24.04,32.02,48.41,6.98,0.0
plant-15,33,15,healthy,0.0,17.44,48.28,50.19,5.82,0.0
plant-16,25,6,early_blight,0.237,23.91,40.52,20.64,5.64,0.311
plant-17,13,30,healthy,0.0,24.12,41.68,62.22,7.79,0.0
plant-18,34,3,healthy,0.0,21.48,70.03,31.04,6.79,0.0
plant-19,20,14,healthy,0.0,31.41,48.63,53.08,6.47,0.0
plant-20,12,1,late_blight,0.551,19.36,75.34,61.76,7.16,0.661
plant-21,16,18,healthy,0.0,37.37,70.34,62.73,7.06,0.0
plant-22,47,38,early_blight,0.531,29.84,55.87,22.37,6.9,0.666
plant-23,13,23,late_blight,0.761,22.92,67.47,13.52,6.39,1.0
plant-24,32,25,healthy,0.0,31.07,50.21,25.47,6.19,0.0
plant-25,17,6,healthy,0.0,33.3,91.0,48.74,7.08,0.0
plant-26,18,25,healthy,0.0,20.33,84.3,65.82,6.11,0.0
plant-27,43,25,healthy,0.0,23.84,66.96,17.42,7.27,0.0
plant-28,47,32,early_blight,0.338,17.66,86.06,36.32,6.14,0.338
plant-29,21,41,healthy,0.0,18.32,63.51,41.35,6.61,0.0
plant-30,23,46,early_blight,0.29,26.42,87.59,52.27,5.56,0.29
plant-31,21,21,healthy,0.0,20.93,43.49,12.37,6.18,0.0
plant-32,16,38,healthy,0.0,18.25,52.67,13.73,7.41,0.0
plant-33,34,43,early_blight,0.246,25.26,54.72,41.77,6.33,0.246
plant-34,9,44,healthy,0.0,33.99,88.09,61.18,7.71,0.0
plant-35,43,5,healthy,0.0,30.18,47.32,10.12,6.45,0.0
plant-36,24,37,healthy,0.0,18.14,86.79,68.35,6.87,0.0
plant-37,12,13,healthy,0.0,23.02,44.72,38.66,7.94,0.0
plant-38,25,48,healthy,0.0,23.86,33.67,14.96,5.66,0.0
plant-39,9,4,healthy,0.0,33.58,79.58,51.99,7.08,0.0
plant-40,46,49,healthy,0.0,33.6,82.53,26.33,6.53,0.0
plant-41,15,8,healthy,0.0,17.82,63.59,25.36,5.63,0.0
plant-42,39,37,healthy,0.0,37.93,41.25,18.21,7.7,0.0
plant-43,33,34,healthy,0.0,31.02,39.77,23.81,5.81,0.0
plant-44,0,25,healthy,0.0,27.06,78.55,31.67,7.6,0.0
plant-45,20,49,healthy,0.0,18.23,86.05,49.95,5.99,0.0
plant-46,23,0,nutrient_deficiency,0.567,26.74,39.99,69.69,7.37,0.51
plant-47,4,47,healthy,0.0,32.29,68.37,6.58,6.75,0.0
plant-48,6,41,early_blight,0.447,19.11,84.19,19.49,6.17,0.604
plant-49,44,46,healthy,0.0,18.57,85.33,63.31,7.44,0.0
plant-50,48,37,mold,0.455,20.5,52.11,11.41,7.05,0.737
